id,Team1Id,Team1,Team2Id,Team2,LeagueId,League,CategoryId,Category,League_Category,Sport,begin,ended,Set1_T1,Set1_T2,Set2_T1,Set2_T2,Set3_T1,Set3_T2,TotScore_T1,TotScore_T2,Tipp1,TippX,Tipp2,Over_Under4_5,Over4_5,Under4_5,Over_Under5_5,Over5_5,Under5_5
117874810,3878,HC Slavia Prag,3879,HC Liberec,109301,Extraliga,42201,Tschechien,Extraliga - Tschechien,Eishockey,14/09/2014 17:01,14/09/2014 19:26,2,1,1,1,0,0,3,2,2.1092,4.48699,3.30648,4.5,1.67876,2.47328,5.5,2.29436,1.77258
117874910,36334,HC Kometa Brno,3872,PSG Zlín,109301,Extraliga,42201,Tschechien,Extraliga - Tschechien,Eishockey,14/09/2014 18:17,15/09/2014 17:02,,,,,,,0,0,1.93306,4.3535,3.92868,4.5,1.7498,2.33368,5.5,2.41847,1.70498
117875010,3867,HC Pilsen,3865,Benzina Litvinov,109301,Extraliga,42201,Tschechien,Extraliga - Tschechien,Eishockey,14/09/2014 17:31,14/09/2014 20:09,1,0,1,1,0,1,2,2,1.97294,4.524,3.63793,4.5,1.66269,2.509,5.5,2.28537,1.77799
117875110,22219,BK Mlada Boleslav,3875,HC Pardubice,109301,Extraliga,42201,Tschechien,Extraliga - Tschechien,Eishockey,14/09/2014 17:31,14/09/2014 19:55,1,1,1,2,1,1,3,4,2.43411,4.48164,2.73456,4.5,1.54719,2.8275,5.5,2.0484,1.95383
117875210,3877,HC Mountfield ,3876,Sparta Prag,109301,Extraliga,42201,Tschechien,Extraliga - Tschechien,Eishockey,14/09/2014 17:30,14/09/2014 20:06,3,1,0,0,0,0,3,1,2.62897,4.32182,2.57573,4.5,1.69979,2.429,5.5,2.35366,1.73874
117878510,3838,Blues Espoo,3844,Pelicans Lahti,108301,SM-liiga,40201,Finnland,SM-liiga - Finnland,Eishockey,13/09/2014 16:00,13/09/2014 18:21,1,0,0,0,0,0,1,0,2.07937,4.34547,3.42057,4.5,1.70974,2.40897,5.5,2.414,1.70721
117878610,3837,HPK Hämeenlinna,3841,Ilves Tampere,108301,SM-liiga,40201,Finnland,SM-liiga - Finnland,Eishockey,13/09/2014 16:00,13/09/2014 18:17,1,1,0,0,0,4,1,5,2.05051,4.45161,3.49329,4.5,1.85582,2.16847,5.5,2.65138,1.60556
117878710,3845,Saipa Lappeenranta,3843,Lukko Rauma,108301,SM-liiga,40201,Finnland,SM-liiga - Finnland,Eishockey,13/09/2014 16:00,13/09/2014 18:26,2,1,0,0,2,0,4,1,2.84519,4.21766,2.43054,4.5,1.79425,2.25905,5.5,2.55496,1.6431
117878810,3823,Vaasan Sport,3836,Turku PS,108301,SM-liiga,40201,Finnland,SM-liiga - Finnland,Eishockey,13/09/2014 16:00,13/09/2014 18:31,1,0,0,0,3,1,4,1,3.67447,4.5482,1.96856,4.5,1.65443,2.52805,5.5,2.26407,1.7911
117878910,3834,Tappara Tampere,5568,KalPa Hockey,108301,SM-liiga,40201,Finnland,SM-liiga - Finnland,Eishockey,13/09/2014 16:01,13/09/2014 18:28,0,0,1,1,0,0,1,1,1.74052,4.75135,4.6166,4.5,1.80073,2.24885,5.5,2.61591,1.61885
117879010,3846,Ässät Pori,3842,JYP Jyväskylä,108301,SM-liiga,40201,Finnland,SM-liiga - Finnland,Eishockey,13/09/2014 16:00,13/09/2014 18:25,1,0,1,0,1,0,3,0,2.65936,4.27073,2.56244,4.5,1.77882,2.284,5.5,2.55496,1.6431
117879110,3835,Kärpät Oulu,3839,HIFK Hockey,108301,SM-liiga,40201,Finnland,SM-liiga - Finnland,Eishockey,14/09/2014 15:03,14/09/2014 17:29,1,1,0,1,0,2,1,4,1.70573,5.01283,4.66743,4.5,1.73065,2.36865,5.5,2.42415,1.70217
117893110,3919,EC Graz 99ers,3915,Black Wings Linz,125301,EHL,65201,Österreich,EHL - Österreich,Eishockey,14/09/2014 17:32,14/09/2014 19:54,1,0,1,0,1,3,3,3,2.53146,4.52023,2.60591,4.5,1.43011,3.325,5.5,1.82725,2.20882
117893210,44499,EC Dornbirn,7846,Olimp. Ljubljana,125301,EHL,65201,Österreich,EHL - Österreich,Eishockey,14/09/2014 17:30,14/09/2014 20:01,1,0,1,0,1,2,3,2,1.67506,5.55772,4.48278,4.5,1.32884,4.041,5.5,1.64147,2.55891
117893310,3914,Vienna Capitals,7847,Sapa Fehervar,125301,EHL,65201,Österreich,EHL - Österreich,Eishockey,14/09/2014 17:34,14/09/2014 19:49,3,1,1,0,2,2,6,3,1.35955,7.80623,7.33343,4.5,1.2994,4.34,5.5,1.58531,2.70848
117893410,3868,HC Znojmo,2046,RB Salzburg,125301,EHL,65201,Österreich,EHL - Österreich,Eishockey,14/09/2014 17:29,14/09/2014 19:47,0,1,0,0,1,2,1,3,3.3316,4.87639,2.02314,,,,5.5,1.71504,2.39853
117893510,3918,HC Innsbruck,3922,KAC Klagenfurt,125301,EHL,65201,Österreich,EHL - Österreich,Eishockey,14/09/2014 17:56,14/09/2014 20:03,1,2,2,0,2,2,5,4,3.8969,5.04069,1.83486,4.5,1.3775,3.649,5.5,1.72523,2.37888
117893610,24949,HCB Südtirol,3917,EC VSV,125301,EHL,65201,Österreich,EHL - Österreich,Eishockey,14/09/2014 18:48,14/09/2014 21:02,0,1,0,1,0,1,0,3,2.82887,4.64711,2.31849,4.5,1.36417,3.746,5.5,1.71504,2.39853
117942310,3842,JYP Jyväskylä,3837,HPK Hämeenlinna,108301,SM-liiga,40201,Finnland,SM-liiga - Finnland,Eishockey,16/09/2014 17:32,16/09/2014 19:51,2,2,1,0,2,1,5,3,1.84428,4.47117,4.27115,4.5,1.80728,2.23873,5.5,2.57216,1.63607
117942410,3843,Lukko Rauma,5568,KalPa Hockey,108301,SM-liiga,40201,Finnland,SM-liiga - Finnland,Eishockey,16/09/2014 17:30,16/09/2014 20:03,1,1,0,1,1,0,2,2,1.78959,4.7376,4.34631,4.5,1.88971,2.12396,5.5,2.87391,1.53201
117942510,3844,Pelicans Lahti,3846,Ässät Pori,108301,SM-liiga,40201,Finnland,SM-liiga - Finnland,Eishockey,16/09/2014 17:31,16/09/2014 19:49,0,2,0,0,1,1,1,3,2.1113,4.45162,3.28926,4.5,1.77882,2.284,5.5,2.54959,1.64533
117942610,3836,Turku PS,3838,Blues Espoo,108301,SM-liiga,40201,Finnland,SM-liiga - Finnland,Eishockey,16/09/2014 17:30,16/09/2014 19:53,2,0,0,1,1,1,3,2,2.0613,4.47983,3.45181,4.5,1.70974,2.40897,5.5,2.40894,1.70976
117942810,3895,HC Davos,3898,Kloten Flyers,96301,Nationalliga A,54201,Schweiz,Nationalliga A - Schweiz,Eishockey,16/09/2014 19:46,16/09/2014 22:03,4,1,1,2,3,0,8,3,1.82327,4.84531,4.07916,4.5,1.55783,2.79265,5.5,2.03904,1.96243
117943310,3935,Met. Nowokusnezk,3945,Awangard Omsk,673301,KHL,101201,Russland,KHL - Russland,Eishockey,15/09/2014 14:00,15/09/2014 16:25,0,0,0,1,1,0,1,1,5.28455,5.52135,1.58847,4.5,1.54719,2.8275,5.5,2,2
